緯度,経度,店舗名,詳細
35.68062524,139.7674799,【東京駅】JR東海　東京駅新幹線南ラチ内店,"営業時間：06:30～21:30

無線LAN：あり"
35.68015967,139.7672942,【東京駅】東京駅エキュート京葉ストリート店,"営業時間：07:00～23:00

無線LAN：なし"
35.63037734,139.7406416,【品川駅】JR東海　品川駅ラチ内店,"営業時間：月～金：06:00～21:30
土日祝：06:00～21:00

無線LAN：あり"
34.97176151,138.3879019,【静岡駅】静岡駅 新幹線ラチ内店,"営業時間：07:00～21:00

無線LAN：あり"
34.70397012,137.7345952,【浜松駅】浜松駅 新幹線ラチ内店,"営業時間：07:00～21:00

無線LAN：あり"
35.17020642,136.8812698,【名古屋駅】JR名古屋駅 新幹線南ラチ内店,"営業時間：06:45～22:00

無線LAN：あり"
34.73404191,135.5002493,【新大阪駅】ＪＲ東海 新大阪駅新幹線ラチ内店,"営業時間：06:30～21:30

無線LAN：あり"
34.98493061,135.7595131,【京都駅】JR京都駅 新幹線改札内店,"営業時間：06:30～21:30

無線LAN：あり"
